tile,quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,lat,lon,city,quality
NYC_0,8204212,164901.42459033697,48617.35698828816,18.23844269050346,109,108,40.92087257779605,-74.4854155057042,NYC,high
NYC_1,6664789,195690.89569224077,44191.218659764854,12.374150964109262,262,93,40.50402914019804,-73.89414710527763,NYC,high
NYC_2,2954354,137158.61807471295,42575.93162880828,11.483280991462964,373,59,41.19603088580679,-74.03923710675203,NYC,high
NYC_3,7640913,85811.38031771281,54170.11109663175,19.162309285605783,397,93,41.17843203307456,-73.69760265188354,NYC,high
NYC_4,5997895,131980.83930243587,47083.06250206723,11.991466938853016,440,39,41.122120402078785,-74.24722001839999,NYC,high
NYC_5,6558019,205568.34553526813,37348.80886077358,20.459961321788356,319,195,41.055084774595,-74.05624586663023,NYC,high
NYC_6,6596411,170951.96823995168,48283.711647735814,10.464067099263026,199,44,41.057333848678155,-73.75867988986262,NYC,high
NYC_7,7723771,185658.77179291833,73407.46334103047,20.354925935086847,389,45,40.50907350570408,-74.340733060937,NYC,high
NYC_8,5780450,26696.050288265782,47246.990897536074,29.701595138757977,298,127,40.28684465173409,-74.14753427145573,NYC,high
NYC_9,4747389,126131.07023588961,34918.467104525174,20.4982348789241,225,41,40.94240617833807,-73.86844252864479,NYC,high
NYC_10,7914550,147839.69635259,60035.32897892024,16.80818012523817,264,146,40.706595596364394,-73.983267170618,NYC,high
NYC_11,1769598,130646.40736184627,46013.61609984799,14.69567956262627,361,56,40.776075571976385,-73.81048391357388,NYC,high
NYC_12,6193542,158929.51345525042,39718.84229412462,7.907017684922209,196,90,41.09326783901526,-73.8816459518662,NYC,high
NYC_13,9306461,155710.10954895502,43896.779826526654,13.419170515951137,455,79,40.53714502100527,-74.38391204529933,NYC,high
NYC_14,3548421,41389.85158120223,47442.35363041058,56.09996946637445,465,159,40.63021100314878,-74.28389218952927,NYC,high
NYC_15,1061087,110660.27322746672,46572.85483473231,10.988613653891905,105,184,40.57642960237929,-73.53421791727904,NYC,high
NYC_16,6595108,92436.86354102875,49734.86124550783,15.301151049705132,233,133,40.45236189066697,-74.36110512790877,NYC,high
NYC_17,2119043,223897.2633745586,53398.20964186644,14.963099250277136,448,188,40.4504375439924,-73.77778365138813,NYC,high
NYC_18,3008187,192083.82932808297,35981.489372077194,17.934285469001352,196,74,40.908612806790885,-73.64764119518628,NYC,high
NYC_19,4896830,215713.66877429935,39032.477014228105,11.588492180398639,156,152,40.85797279040945,-74.33163357099501,NYC,high
NYC_20,3026793,122417.2729729859,65499.344050175394,11.083733538318814,108,11,40.872784046034184,-73.68877779979879,NYC,high
NYC_21,3472189,140338.15451382974,63638.86524417105,27.695813581346663,149,41,41.09543634318934,-74.31729289165862,NYC,high
NYC_22,5515488,178944.31746985306,39351.68847136994,15.543558998136927,417,120,40.29693996499505,-74.34437128590538,NYC,high
NYC_23,5962140,21534.367518361756,52262.882694988744,76.76537918051842,411,132,40.518163860344394,-74.02038624641378,NYC,high
NYC_24,9516999,154519.77130449843,49842.85060147553,8.349629672426076,144,199,40.870412892300344,-73.93769139666453,NYC,high
NYC_25,8740141,149241.37123286616,47546.11883997129,11.231319178212551,167,42,41.19169285827501,-74.01925784704055,NYC,high
NYC_26,4806688,145773.04336597948,58721.61859353454,21.5017257399827,462,65,40.71199337988475,-73.93399580079081,NYC,high
NYC_27,3927109,109694.28707797702,49884.166802180065,15.952993525572614,108,128,40.22825661652887,-73.57768143741228,NYC,high
NYC_28,3215167,164197.12873720634,49271.71087343127,10.766031409657975,332,132,40.58548686709405,-74.11130853319052,NYC,high
NYC_29,5353127,104554.58325942406,38522.80027175,21.948014140732955,426,141,40.91528408398711,-74.14650884878024,NYC,high
NYC_30,6491590,177153.65879869676,43960.95627515471,16.522245599354264,322,40,41.01109517896678,-73.85603606922224,NYC,high
NYC_31,9837590,157716.2247294032,59540.017634932025,18.25695625652899,152,96,40.79166489550756,-74.06752587698192,NYC,high
NYC_32,4503157,113996.0478680951,62013.80444217691,15.749168581697989,453,105,40.73504326005481,-73.73600644690138,NYC,high
NYC_33,4867500,154227.22104213966,55495.76345062668,8.645640965619801,489,120,40.62415390505668,-73.8064877892328,NYC,high
NYC_34,4177945,146784.16574516622,45137.827142468755,22.964908971297323,126,66,41.048780120512205,-73.8100257939063,NYC,high
